ID,YEAR,WEEK,FY,MONTH 445,MONTH NEW
1,2005,1,2005,January,January
2,2005,2,2005,January,January
3,2005,3,2005,January,January
4,2005,4,2005,January,January
5,2005,5,2005,February,February
6,2005,6,2005,February,February
7,2005,7,2005,February,February
8,2005,8,2005,February,February
9,2005,9,2005,March,March
10,2005,10,2005,March,March
11,2005,11,2005,March,March
12,2005,12,2005,March,March
13,2005,13,2005,March,March
14,2005,14,2005,April,April
15,2005,15,2005,April,April
16,2005,16,2005,April,April
17,2005,17,2005,April,April
18,2005,18,2005,May,May
19,2005,19,2005,May,May
20,2005,20,2005,May,May
21,2005,21,2005,May,May
22,2005,22,2005,June,June
23,2005,23,2005,June,June
24,2005,24,2005,June,June
25,2005,25,2005,June,June
26,2005,26,2005,June,June
27,2005,27,2006,July,July
28,2005,28,2006,July,July
29,2005,29,2006,July,July
30,2005,30,2006,July,July
31,2005,31,2006,August,August
32,2005,32,2006,August,August
33,2005,33,2006,August,August
34,2005,34,2006,August,August
35,2005,35,2006,September,September
36,2005,36,2006,September,September
37,2005,37,2006,September,September
38,2005,38,2006,September,September
39,2005,39,2006,September,September
40,2005,40,2006,October,October
41,2005,41,2006,October,October
42,2005,42,2006,October,October
43,2005,43,2006,October,October
44,2005,44,2006,November,November
45,2005,45,2006,November,November
46,2005,46,2006,November,November
47,2005,47,2006,November,November
48,2005,48,2006,December,December
49,2005,49,2006,December,December
50,2005,50,2006,December,December
51,2005,51,2006,December,December
52,2005,52,2006,December,December
53,2005,53,2006,December,December
54,2006,1,2006,January,January
55,2006,2,2006,January,January
56,2006,3,2006,January,January
57,2006,4,2006,January,January
58,2006,5,2006,February,February
59,2006,6,2006,February,February
60,2006,7,2006,February,February
61,2006,8,2006,February,February
62,2006,9,2006,March,March
63,2006,10,2006,March,March
64,2006,11,2006,March,March
65,2006,12,2006,March,March
66,2006,13,2006,March,March
67,2006,14,2006,April,April
68,2006,15,2006,April,April
69,2006,16,2006,April,April
70,2006,17,2006,April,April
71,2006,18,2006,May,May
72,2006,19,2006,May,May
73,2006,20,2006,May,May
74,2006,21,2006,May,May
75,2006,22,2006,June,June
76,2006,23,2006,June,June
77,2006,24,2006,June,June
78,2006,25,2006,June,June
79,2006,26,2006,June,June
80,2006,27,2007,July,July
81,2006,28,2007,July,July
82,2006,29,2007,July,July
83,2006,30,2007,July,July
84,2006,31,2007,August,August
85,2006,32,2007,August,August
86,2006,33,2007,August,August
87,2006,34,2007,August,August
88,2006,35,2007,September,September
89,2006,36,2007,September,September
90,2006,37,2007,September,September
91,2006,38,2007,September,September
92,2006,39,2007,September,September
93,2006,40,2007,October,October
94,2006,41,2007,October,October
95,2006,42,2007,October,October
96,2006,43,2007,October,October
97,2006,44,2007,November,November
98,2006,45,2007,November,November
99,2006,46,2007,November,November
100,2006,47,2007,November,November
101,2006,48,2007,December,December
102,2006,49,2007,December,December
103,2006,50,2007,December,December
104,2006,51,2007,December,December
105,2006,52,2007,December,December
106,2006,53,2007,December,December
107,2007,1,2007,January,January
108,2007,2,2007,January,January
109,2007,3,2007,January,January
110,2007,4,2007,January,January
111,2007,5,2007,February,February
112,2007,6,2007,February,February
113,2007,7,2007,February,February
114,2007,8,2007,February,February
115,2007,9,2007,March,March
116,2007,10,2007,March,March
117,2007,11,2007,March,March
118,2007,12,2007,March,March
119,2007,13,2007,March,March
120,2007,14,2007,April,April
121,2007,15,2007,April,April
122,2007,16,2007,April,April
123,2007,17,2007,April,April
124,2007,18,2007,May,May
125,2007,19,2007,May,May
126,2007,20,2007,May,May
127,2007,21,2007,May,May
128,2007,22,2007,June,June
129,2007,23,2007,June,June
130,2007,24,2007,June,June
131,2007,25,2007,June,June
132,2007,26,2007,June,June
133,2007,27,2008,July,July
134,2007,28,2008,July,July
135,2007,29,2008,July,July
136,2007,30,2008,July,July
137,2007,31,2008,August,August
138,2007,32,2008,August,August
139,2007,33,2008,August,August
140,2007,34,2008,August,August
141,2007,35,2008,September,September
142,2007,36,2008,September,September
143,2007,37,2008,September,September
144,2007,38,2008,September,September
145,2007,39,2008,September,September
146,2007,40,2008,October,October
147,2007,41,2008,October,October
148,2007,42,2008,October,October
149,2007,43,2008,October,October
150,2007,44,2008,November,November
151,2007,45,2008,November,November
152,2007,46,2008,November,November
153,2007,47,2008,November,November
154,2007,48,2008,December,December
155,2007,49,2008,December,December
156,2007,50,2008,December,December
157,2007,51,2008,December,December
158,2007,52,2008,December,December
159,2007,53,2008,December,December
160,2008,1,2008,January,January
161,2008,2,2008,January,January
162,2008,3,2008,January,January
163,2008,4,2008,January,January
164,2008,5,2008,February,February
165,2008,6,2008,February,February
